CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
171,1,16,19,23,23,19,10,9,0,79,23
500,2,12,24,44,52,43,26,17,0,55,67
536,3,3,0,3,23,43,26,17,0,55,70
620,4,4,14,17,31,57,40,17,0,41,87
3698,5,106,30,37,70,87,67,20,0,11,124
4204,6,78,5,5,7,92,72,20,0,6,129
4212,7,3,1,2,5,93,73,20,0,5,131
