CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
18259,1,3433,37,59,59,37,13,24,0,38,59
18309,2,5,4,7,23,41,16,25,0,34,66
18336,3,4,3,6,23,44,16,28,0,31,72
20654,4,102,17,27,70,61,33,28,0,14,99
21094,5,80,4,5,7,65,37,28,0,10,104
21102,6,2,1,2,5,66,38,28,0,9,106
21102,7,39,0,0,0,66,38,28,0,9,106
25900,8,549,0,9,73,66,38,28,0,9,115
25901,9,4,0,0,0,66,38,28,0,9,115
