CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
168,1,17,19,23,23,19,10,9,0,79,23
497,2,12,24,44,52,43,26,17,0,55,67
533,3,4,0,3,23,43,26,17,0,55,70
612,4,5,14,17,31,57,40,17,0,41,87
4089,5,111,31,40,73,88,68,20,0,10,127
4401,6,78,4,4,7,92,72,20,0,6,131
4409,7,3,1,2,5,93,73,20,0,5,133
