CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
171,1,16,19,23,23,19,10,9,0,79,23
498,2,12,24,44,52,43,26,17,0,55,67
541,3,3,0,3,23,43,26,17,0,55,70
614,4,3,11,17,31,54,37,17,0,44,87
3767,5,106,27,37,70,81,61,20,0,17,124
4163,6,78,4,5,7,85,65,20,0,13,129
4171,7,3,1,2,5,86,66,20,0,12,131
