CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
173,1,19,19,23,23,19,10,9,0,79,23
499,2,14,24,44,52,43,26,17,0,55,67
543,3,4,0,3,23,43,26,17,0,55,70
623,4,4,14,17,31,57,40,17,0,41,87
3720,5,173,30,37,70,87,67,20,0,11,124
4224,6,79,4,5,7,91,71,20,0,7,129
4233,7,3,1,2,5,92,72,20,0,6,131
